Player,Team,Gms,Att,Cmp,Pct,Yds,YPA,TD,TD%,Int,Int%,Lg,Sack,Loss,Rate
Aaron Rodgers,GB,16,526,372,70.7,"4,299",8.2,48,9.1,5,0.9,78,20,182,121.5
Deshaun Watson,HOU,16,544,382,70.2,"4,823",8.9,33,6.1,7,1.3,77,49,293,112.4
Patrick Mahomes,KC,15,588,390,66.3,"4,740",8.1,38,6.5,6,1,75,22,147,108.2
Josh Allen,BUF,16,572,396,69.2,"4,544",7.9,37,6.5,10,1.8,55,26,159,107.2
Ryan Tannehill,TEN,16,481,315,65.5,"3,819",7.9,33,6.9,7,1.5,75,24,173,106.5
Drew Brees,NO,12,390,275,70.5,"2,942",7.5,24,6.2,6,1.5,52,13,89,106.4
Russell Wilson,SEA,16,558,384,68.8,"4,212",7.5,40,7.2,13,2.3,62,47,301,105.1
Kirk Cousins,MIN,16,516,349,67.6,"4,265",8.3,35,6.8,13,2.5,71,39,256,105
Tom Brady,TB,16,610,401,65.7,"4,633",7.6,40,6.6,12,2,50,21,143,102.2
Derek Carr,LV,16,517,348,67.3,"4,103",7.9,27,5.2,9,1.7,85,26,150,101.4
Lamar Jackson,BAL,15,376,242,64.4,"2,757",7.3,26,6.9,9,2.4,47,29,160,99.3
Justin Herbert,LAC,15,595,396,66.5,"4,336",7.3,31,5.2,10,1.7,72,32,218,98.3
Philip Rivers,IND,16,543,369,68,"4,169",7.7,24,4.4,11,2,55,19,118,97
Matthew Stafford,DET,16,528,339,64.2,"4,084",7.7,26,4.9,10,1.9,73,38,254,96.3
Baker Mayfield,CLE,16,486,305,62.8,"3,563",7.3,26,5.3,8,1.6,75,26,162,95.9
Gardner Minshew,JAX,9,327,216,66.1,"2,259",6.9,16,4.9,5,1.5,51,27,147,95.9
Ryan Fitzpatrick,MIA,9,267,183,68.5,"2,091",7.8,13,4.9,8,3,70,14,65,95.6
Kyler Murray,ARI,16,558,375,67.2,"3,971",7.1,26,4.7,12,2.1,80,27,176,94.3
Ben Roethlisberger,PIT,15,608,399,65.6,"3,803",6.2,33,5.4,10,1.6,84,13,118,94.1
Mitchell Trubisky,CHI,10,297,199,67,"2,055",6.9,16,5.4,8,2.7,53,18,125,93.5
Matt Ryan,ATL,16,626,407,65,"4,581",7.3,26,4.2,11,1.8,63,41,257,93.3
Teddy Bridgewater,CAR,15,492,340,69.1,"3,733",7.6,15,3,11,2.2,75,31,205,92.1
Jared Goff,LA,15,552,370,67,"3,952",7.2,20,3.6,13,2.4,56,23,161,90
Joe Burrow,CIN,10,404,264,65.3,"2,688",6.7,13,3.2,5,1.2,67,32,231,89.8
Andy Dalton,DAL,11,333,216,64.9,"2,170",6.5,14,4.2,8,2.4,69,24,184,87.3
Tua Tagovailoa,MIA,10,290,186,64.1,"1,814",6.3,11,3.8,5,1.7,35,20,136,87.1
Nick Mullens,SF,10,326,211,64.7,"2,437",7.5,12,3.7,12,3.7,49,19,139,84.1
Cam Newton,NE,15,368,242,65.8,"2,657",7.2,8,2.2,10,2.7,50,31,195,82.9
Nick Foles,CHI,9,312,202,64.7,"1,852",5.9,10,3.2,8,2.6,50,18,145,80.8
Daniel Jones,NYG,14,448,280,62.5,"2,943",6.6,11,2.5,10,2.2,53,45,286,80.4
Alex Smith,WAS,8,252,168,66.7,"1,582",6.3,6,2.4,8,3.2,68,22,139,78.5
Drew Lock,DEN,13,443,254,57.3,"2,933",6.6,16,3.6,15,3.4,92,19,123,75.4
Dwayne Haskins,WAS,7,241,148,61.4,"1,439",6,5,2.1,7,2.9,50,20,141,73
Carson Wentz,PHI,12,437,251,57.4,"2,620",6,16,3.7,15,3.4,59,50,326,72.8
Sam Darnold,NYJ,12,364,217,59.6,"2,208",6.1,9,2.5,11,3,69,35,234,72.7
